Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2010,72000,3,0,1,26.6,998,58.16,5,1.75
2015,41000,2,0,1,19.67,1582,126.2,5,12.5
2012,85000,2,1,2,15,2179,115,5,17.5
2014,110000,2,0,1,13.5,2477,175.56,7,15
2016,58950,2,0,1,25.8,1498,98.6,5,5.4
2017,25000,2,0,1,28.4,1248,74,5,5.99
2014,77469,2,0,1,20.45,1461,83.8,5,6.34
2014,78500,2,1,1,14.84,2143,167.62,5,28
2014,32982,2,1,1,22.69,1995,190,5,18.55
2015,55392,2,0,2,23.65,1248,88.5,5,8.25
2015,55985,1,1,1,13.53,1984,177.01,5,23.5
2010,45807,1,0,1,18.5,1197,80,5,1.87
2010,33000,1,1,1,14.4,1598,103.6,5,2.85
2012,51920,1,0,1,16.8,1497,116.3,5,4.25
2012,54000,2,0,1,23.08,1461,63.1,5,4.25
2013,54000,1,0,2,20.92,998,67.1,5,2.75
2018,37430,1,0,1,17.5,1199,88.7,5,9.9
2007,262000,2,0,4,12.8,2494,102,7,4
2013,62000,2,0,1,19.01,1461,108.45,5,7.75
2012,87615,1,0,1,14.53,1798,138.1,5,6.75
2013,72000,2,1,2,11.18,2696,184,7,12.5
2010,35000,2,1,1,12.4,2698,179.5,5,11.5
2014,55431,1,0,2,16.09,1598,103.5,5,6.98
2009,83816,1,0,2,14,1061,64,5,1.85
2018,50075,2,0,1,24.3,1248,88.5,5,8.63
2017,52000,1,0,1,18.15,1198,82,5,4.85
2013,85000,2,1,1,11.74,2987,254.8,5,28
2013,62000,2,0,1,22.07,1199,73.9,5,5
2008,90000,1,0,2,19.7,796,46.3,5,1.25
2014,19698,1,0,1,25.4,624,37.5,4,1.53
2017,22033,2,0,1,25.32,1198,77,6,5.58
2014,35487,1,0,1,18.5,1197,82.9,5,4.74
2014,46374,1,1,1,14.62,1999,149.92,5,8.85
2016,52001,1,1,1,14.28,1798,138.03,5,10.11
2008,58005,2,0,2,14.9,1991,112.2,5,4.25
2012,70704,1,0,1,11.25,2694,163.7,7,10.95
2014,75000,2,0,1,24.4,1120,71,5,3.85
2012,75800,2,0,2,16.55,2498,105,6,5.5
2015,13648,2,1,1,17.11,1968,174.33,5,21.43
2014,52000,2,0,1,22.9,1248,74,5,4.25
2014,53000,2,0,1,17.8,1248,75,5,3.3
2013,65650,2,0,1,28.4,1248,74,5,3.85
2015,54000,1,0,3,18.9,1197,82,5,3.6
2015,39000,1,0,1,15.04,1598,103.2,5,3.99
2017,16542,1,0,1,25.17,799,53.3,5,3.3
2010,32000,1,0,1,20.36,1197,78.9,5,2.07
2010,121812,2,1,1,13.29,1995,147.6,5,7.75
2010,39300,1,0,1,18.2,998,67.1,5,2.25
2017,22000,2,0,1,13.68,2393,147.8,8,16.5
2010,72000,2,0,1,20,1399,68,5,2.75
2015,58000,1,1,1,11.74,1796,186,5,26.7
2011,65000,2,0,2,15.8,2148,170,5,10
2016,178000,2,0,1,25,1396,69,5,2.5
2012,65664,2,1,1,16.55,1968,140,5,13.5
2007,63000,1,1,2,16.4,1497,78,5,1.85
2019,15369,2,1,1,15,1950,194,5,35.67
2016,63000,2,0,1,24.52,1248,88.5,7,8.15
2018,13000,2,0,1,22.1,1396,88.7,5,10.5
2008,73000,1,1,1,8.5,4806,500,5,14.5
2015,55729,2,0,1,15.1,2179,140,7,9.65
2012,45178,1,1,1,16.95,1197,78.9,5,3.48
2015,56066,2,0,1,19.64,1461,108.5,5,6.92
2016,37300,1,1,2,16.5,1198,86.8,5,6.46
2014,56000,2,1,2,18.53,1968,187.74,5,29.5
2008,111111,2,0,1,17.8,1399,250,5,2
2006,230000,1,0,3,12.4,1998,132,8,4.5
2012,104000,2,0,1,12.8,2494,102,7,11.75
2005,87591,1,0,1,15,1086,250,5,1.3
2012,95100,2,0,1,22.9,1248,74,5,3.75
2017,70000,1,0,1,17.57,1193,88.7,5,4.5
2016,54944,1,0,1,18,1198,86.7,5,4.82
2012,70337,2,0,1,20,1399,68,5,2.8
2013,99638,2,0,1,23.2,1248,73.94,5,3.11
2009,52000,1,0,1,17.8,1497,117.3,5,3.25
2011,75000,2,1,2,16.73,1995,218,5,13.9
2009,95980,1,0,1,20.36,1197,78.9,5,2.25
2016,16000,1,0,1,18.9,1197,82,5,5.75
2007,73745,1,0,1,17,1086,250,5,2.1
2016,18949,1,0,1,17.8,1198,86.7,5,5
2014,107000,2,0,1,13,2982,168.5,7,16.5
2018,48367,2,1,1,17.68,1968,174.33,5,39.58
2013,57000,2,0,1,22.7,1498,89.84,5,5.5
2014,58000,2,0,1,15.1,2179,140,7,8.1
2015,30000,2,0,1,25.8,1498,98.6,5,3.5
2013,34212,2,0,1,22.07,1199,73.9,5,2.79
